mean,variance,std_dev,morans_I,n,shape_r,shape_c,run,label,method,factor,pixel_size_rel
0.5417017856780193,0.029649641201751845,0.1721907117174206,0.9854936742391756,65536,256,256,1,perlin_MF,perlin,2,2.0
0.5417017856780194,0.029214303731170593,0.1709219229097619,0.9611137673468074,16384,128,128,1,perlin_MF,perlin,4,4.0
0.5417017856780193,0.02813261315694665,0.16772779482526637,0.9117177867396751,4096,64,64,1,perlin_MF,perlin,8,8.0
0.5417017856780194,0.025802786551076883,0.16063245796250794,0.8097987573710752,1024,32,32,1,perlin_MF,perlin,16,16.0
0.5417017856780194,0.02156545071353048,0.14685179846883212,0.5933277155840975,256,16,16,1,perlin_MF,perlin,32,32.0
0.5841973041398519,0.02322080933672498,0.15238375680079874,0.9952335975047032,262144,512,512,2,perlin_MF,perlin,1,1.0
0.5841973041398518,0.023095898729383384,0.15197334874702007,0.9854495907143286,65536,256,256,2,perlin_MF,perlin,2,2.0
0.5841973041398518,0.022735087596431836,0.15078158904996272,0.9605298205595415,16384,128,128,2,perlin_MF,perlin,4,4.0
0.5841973041398518,0.021854597768383346,0.1478330063564404,0.9079193801791774,4096,64,64,2,perlin_MF,perlin,8,8.0
0.5841973041398518,0.020000026069916806,0.14142144840835427,0.8005956362956952,1024,32,32,2,perlin_MF,perlin,16,16.0
0.5841973041398518,0.016323685898663936,0.12776418081240115,0.6027078671861669,256,16,16,2,perlin_MF,perlin,32,32.0
0.5394901884504317,0.031698016865149684,0.1780393688630402,0.9949544072677686,262144,512,512,3,perlin_MF,perlin,1,1.0
0.5394901884504317,0.03152782271769005,0.17756075782021785,0.9850123014600124,65536,256,256,3,perlin_MF,perlin,2,2.0
0.5394901884504317,0.03104398208821971,0.17619302508391105,0.9600949236270783,16384,128,128,3,perlin_MF,perlin,4,4.0
0.5394901884504317,0.029894649642726014,0.17290069300822947,0.9086658142958827,4096,64,64,3,perlin_MF,perlin,8,8.0
0.5394901884504317,0.02757733324453782,0.16606424432892777,0.8042596492443405,1024,32,32,3,perlin_MF,perlin,16,16.0
0.5394901884504316,0.0225237898018779,0.15007927838938293,0.6036749136419873,256,16,16,3,perlin_MF,perlin,32,32.0
0.6153807632065663,0.01494509349511683,0.12225012676932827,0.9951516564903163,262144,512,512,4,perlin_MF,perlin,1,1.0
0.6153807632065662,0.014866498833378757,0.12192825281032595,0.9850789964319394,65536,256,256,4,perlin_MF,perlin,2,2.0
0.6153807632065662,0.014636202844152969,0.1209801754179294,0.9591162038582153,16384,128,128,4,perlin_MF,perlin,4,4.0
0.6153807632065662,0.014094568780889452,0.11872054910961898,0.9040749523261886,4096,64,64,4,perlin_MF,perlin,8,8.0
0.6153807632065662,0.01287744566456062,0.1134788335530491,0.7973412976940447,1024,32,32,4,perlin_MF,perlin,16,16.0
0.6153807632065662,0.010637132642415677,0.10313647580955865,0.5798240253578392,256,16,16,4,perlin_MF,perlin,32,32.0
0.5739857370473055,0.024621254672571397,0.15691161420548638,0.9945046044127813,262144,512,512,5,perlin_MF,perlin,1,1.0
0.5739857370473057,0.02448160691479519,0.15646599283804513,0.9836302153544388,65536,256,256,5,perlin_MF,perlin,2,2.0
0.5739857370473056,0.02407597035707259,0.15516433339228636,0.9559913524026208,16384,128,128,5,perlin_MF,perlin,4,4.0
0.5739857370473056,0.023071274083953208,0.151892310812474,0.8988260495721478,4096,64,64,5,perlin_MF,perlin,8,8.0
0.5739857370473056,0.020947477825378973,0.1447324352913989,0.7795856743057535,1024,32,32,5,perlin_MF,perlin,16,16.0
0.5739857370473056,0.016780656008470982,0.12954017140821986,0.5509876680150112,256,16,16,5,perlin_MF,perlin,32,32.0
0.531458441195055,0.033521427068277085,0.18308857711030768,0.9961377111959114,262144,512,512,6,perlin_MF,perlin,1,1.0
0.5314584411950551,0.03338118834911726,0.18270519518918246,0.9883139776610016,65536,256,256,6,perlin_MF,perlin,2,2.0
0.5314584411950551,0.032980278499849566,0.18160473149081102,0.9681156695893219,16384,128,128,6,perlin_MF,perlin,4,4.0
0.5314584411950551,0.03198229958139662,0.17883595718254375,0.9255959609466704,4096,64,64,6,perlin_MF,perlin,8,8.0
0.5314584411950551,0.02984197051865107,0.1727482865867302,0.8338473262882191,1024,32,32,6,perlin_MF,perlin,16,16.0
0.5314584411950551,0.025050119824368763,0.15827229645256546,0.6391858279273268,256,16,16,6,perlin_MF,perlin,32,32.0
0.5566537781693037,0.025795162901085713,0.1606087261050461,0.9947868181514185,262144,512,512,7,perlin_MF,perlin,1,1.0
0.556653778169304,0.025651556830382213,0.1601610340575454,0.9843339471945289,65536,256,256,7,perlin_MF,perlin,2,2.0
0.556653778169304,0.025240277821076698,0.1588718912239566,0.9578714370868594,16384,128,128,7,perlin_MF,perlin,4,4.0
0.556653778169304,0.024277262480971035,0.15581162498661977,0.9038312962500217,4096,64,64,7,perlin_MF,perlin,8,8.0
0.556653778169304,0.02214398371059391,0.1488085471691526,0.7952910143436838,1024,32,32,7,perlin_MF,perlin,16,16.0
0.556653778169304,0.017808043458961493,0.1334467813735554,0.5672391936490555,256,16,16,7,perlin_MF,perlin,32,32.0
0.5841118426803111,0.026277678186054584,0.16210391169263802,0.9945994264873854,262144,512,512,8,perlin_MF,perlin,1,1.0
0.5841118426803109,0.026129015870650824,0.1616447211345017,0.9841002330090269,65536,256,256,8,perlin_MF,perlin,2,2.0
0.5841118426803109,0.025716044154024287,0.16036222795292004,0.9573235751772845,16384,128,128,8,perlin_MF,perlin,4,4.0
0.5841118426803109,0.024705751105740206,0.1571806320948615,0.9023402909176662,4096,64,64,8,perlin_MF,perlin,8,8.0
0.5841118426803109,0.022562294668934908,0.15020750536819027,0.78771963878297,1024,32,32,8,perlin_MF,perlin,16,16.0
0.5841118426803109,0.018493210575399557,0.13598974437581518,0.5729850407507426,256,16,16,8,perlin_MF,perlin,32,32.0
